id	r2Key	active	nameDevanagari	transliteration	form	teachingCaption	isAI	altText	slug	description	tags	creditText	creator	license	acquireLicensePage	dateCreated	order	width	height	dominantColor
kali-001	64b871d7-e7e0-410d-9213-3f35f2e474a5 (1).jpeg	TRUE	आद्या काली	Ādyā Kālī	Adya Kali	She who existed before time — the primordial darkness from which all light is born.	TRUE	Ādyā Kālī (आद्या काली) — Adya Kali, a devotional image of Maa Adya Kali	adya-kali-adya-kali								1	1024	1536	#701d0c
kali-002	64b871d7-e7e0-410d-9213-3f35f2e474a5-Photoroom.png	TRUE	आद्या काली	Ādyā Kālī	Adya Kali	The formless one given form — radiant against the void.	TRUE	Ādyā Kālī (आद्या काली) — Adya Kali, a devotional image of Maa Adya Kali	adya-kali-adya-kali-2								2	1024	1424	#3d1309
kali-003	A0BB96A6-5C94-4808-9C55-C0C1BB8CAEE6.jpg	TRUE	दक्षिण काली	Dakṣiṇa Kālī	Dakshina Kali	The benevolent south-facing form — she who grants liberation with her right hand extended.	FALSE	Dakṣiṇa Kālī (दक्षिण काली) — Dakshina Kali, a devotional image of Maa Adya Kali	daksina-kali-dakshina-kali								3	832	1109	#824e41
kali-004	IMG_3734.PNG	TRUE	महाकाली	Mahākālī	Maha Kali	The great time itself — she who swallows all universes at the end of each cycle.	FALSE	Mahākālī (महाकाली) — Maha Kali, a devotional image of Maa Adya Kali	mahakali-maha-kali								4	864	1184	#86645f
kali-005	IMG_3802.PNG	TRUE	भद्र काली	Bhadra Kālī	Bhadra Kali	The auspicious one — fierce in protection yet gentle as a mother.	FALSE	Bhadra Kālī (भद्र काली) — Bhadra Kali, a devotional image of Maa Adya Kali	bhadra-kali-bhadra-kali								5	832	1248	#ae6144
kali-006	SaveClip.App_618911727_17887876374419895_5214875700262540593_n.jpg	TRUE	काली माँ	Kālī Mā	Kali Ma	The Mother who loves without condition, who destroys only to create anew.	FALSE	Kālī Mā (काली माँ) — Kali Ma, a devotional image of Maa Adya Kali	kali-ma-kali-ma								6	862	1080	#7a6b61
kali-007	SaveClip.App_627015002_17889990075419895_2019019076339287363_n.jpg	TRUE	काली माँ	Kālī Mā	Kali Ma	She dances on Shiva — not in victory over him, but as shakti animating pure consciousness.	FALSE	Kālī Mā (काली माँ) — Kali Ma, a devotional image of Maa Adya Kali	kali-ma-kali-ma-2								7	810	1080	#73423d
kali-008	WhatsApp Image 2026-04-14 at 17.37.43.jpeg	TRUE	श्यामा काली	Śyāmā Kālī	Shyama Kali	Dark as the night sky, beautiful as the deep ocean — Shyama, the beloved dark one.	FALSE	Śyāmā Kālī (श्यामा काली) — Shyama Kali, a devotional image of Maa Adya Kali	syama-kali-shyama-kali								8	1080	1350	#4b1e1a
kali-009	WhatsApp Image 2026-04-14 at 17.59.57.jpeg	TRUE	श्यामा काली	Śyāmā Kālī	Shyama Kali	In her darkness, no shadow can hide — she is the light that illuminates from within.	FALSE	Śyāmā Kālī (श्यामा काली) — Shyama Kali, a devotional image of Maa Adya Kali	syama-kali-shyama-kali-2								9	1080	1350	#34201c
kali-010	WhatsApp Image 2026-06-21 at 16.01.25.jpeg	TRUE	रक्षा काली	Rakṣā Kālī	Raksha Kali	She who protects her devotees with ferocity that knows no equal.	FALSE	Rakṣā Kālī (रक्षा काली) — Raksha Kali, a devotional image of Maa Adya Kali	raksa-kali-raksha-kali								10	900	1600	#674021
kali-011	WhatsApp Image 2026-06-22 at 05.28.26.jpeg	TRUE	महाकाली	Mahākālī	Maha Kali	Beyond the ten directions, beyond all time — Mahakali, the supreme power.	FALSE	Mahākālī (महाकाली) — Maha Kali, a devotional image of Maa Adya Kali	mahakali-maha-kali-2								11	1026	1280	#492817
kali-012	WhatsApp Image 2026-06-22 at 13.41.11.jpeg	TRUE	दक्षिण काली	Dakṣiṇa Kālī	Dakshina Kali	Four-armed, garlanded with skulls — each skull a letter of the alphabet she has transcended.	FALSE	Dakṣiṇa Kālī (दक्षिण काली) — Dakshina Kali, a devotional image of Maa Adya Kali	daksina-kali-dakshina-kali-2								12	720	1280	#3e2511
kali-013	WhatsApp Image 2026-06-22 at 18.38.42.jpeg	TRUE	भद्र काली	Bhadra Kālī	Bhadra Kali	Her lotus feet — more merciful than a thousand mothers combined.	FALSE	Bhadra Kālī (भद्र काली) — Bhadra Kali, a devotional image of Maa Adya Kali	bhadra-kali-bhadra-kali-2								13	720	1280	#404569
kali-014	WhatsApp Image 2026-06-24 at 05.43.04.jpeg	TRUE	श्मशान काली	Śmaśāna Kālī	Shmashana Kali	The cremation-ground goddess — she who dissolves all that is impermanent.	FALSE	Śmaśāna Kālī (श्मशान काली) — Shmashana Kali, a devotional image of Maa Adya Kali	smasana-kali-shmashana-kali								14	900	1600	#2e2e2e
